# Matter power spectrum P(k) at redshift z=0
# for k=1.04932e-05 to 1.02586 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.750113489125e-01       1.097548922041e+03 
       2.782381530023e-01       1.068736298153e+03 
       2.814649580774e-01       1.040659391004e+03 
       2.846917641040e-01       1.013624152375e+03 
       2.879185710500e-01       9.881688576220e+02 
       2.911453788845e-01       9.644128428507e+02 
       2.943721875783e-01       9.424256236215e+02 
       2.975989971032e-01       9.222437695098e+02 
       3.008258074324e-01       9.036704591387e+02 
       3.040526185400e-01       8.864259782201e+02 
       3.072794304015e-01       8.704814802940e+02 
       3.105062429932e-01       8.553208882113e+02 
       3.137330562925e-01       8.407744555510e+02 
       3.169598702777e-01       8.265944951008e+02 
       3.201866849279e-01       8.124392671384e+02 
       3.234135002230e-01       7.981526033409e+02 
       3.266403161440e-01       7.837266602068e+02 
       3.298671326724e-01       7.690297730002e+02 
       3.330939497903e-01       7.541063073258e+02 
       3.363207674808e-01       7.391056803099e+02 
       3.395475857275e-01       7.241274173476e+02 
       3.427744045145e-01       7.092650914169e+02 
       3.460012238268e-01       6.947074404324e+02 
       3.492280436496e-01       6.805173242079e+02 
       3.524548639688e-01       6.669073492634e+02 
       3.556816847710e-01       6.538325817504e+02 
       3.589085060430e-01       6.414385629521e+02 
       3.621353277723e-01       6.296664767634e+02 
       3.653621499465e-01       6.185347299776e+02 
       3.685889725541e-01       6.079546037504e+02 
       3.718157955836e-01       5.978949654746e+02 
       3.750426190242e-01       5.882824755696e+02 
       3.782694428652e-01       5.789138602846e+02 
       3.814962670965e-01       5.697889680336e+02 
       3.847230917082e-01       5.607903685026e+02 
       3.879499166908e-01       5.518761224476e+02 
       3.911767420350e-01       5.430336337574e+02 
       3.944035677320e-01       5.342478427746e+02 
       3.976303937730e-01       5.254278406680e+02 
       4.008572201499e-01       5.166849521682e+02 
       4.040840468545e-01       5.080043115468e+02 
       4.073108738789e-01       4.994189301113e+02 
       4.105377012157e-01       4.909717683903e+02 
       4.137645288575e-01       4.827056719612e+02 
       4.169913567971e-01       4.746556304621e+02 
       4.202181850276e-01       4.668195960677e+02 
       4.234450135425e-01       4.592618767100e+02 
       4.266718423353e-01       4.519644626067e+02 
       4.298986713995e-01       4.449039532734e+02 
       4.331255007292e-01       4.380591743837e+02 
       4.363523303185e-01       4.314503098588e+02 
       4.395791601616e-01       4.250865137230e+02 
       4.428059902529e-01       4.188357237415e+02 
       4.460328205870e-01       4.127828661590e+02 
       4.492596511588e-01       4.068480319141e+02 
       4.524864819630e-01       4.010222173643e+02 
