# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.803978701520e+13       2.322904413960e-24       2.569686330389e-08       7.020443622736e+20       1.417361092952e+04       7.856861568035e-10       2.556889224049e+17       1.483563783352e-08       2.914101638238e+41       1.462079898442e+31       7.839238292091e+31       3.463692243488e-08       2.014561226833e+41       4.928662866001e+41       4.928662866001e+41       1.642887621690e+41      -2.557413769209e+49       2.393414938989e-05       4.519589194636e-01 
       1.802525415808e+13       2.326651606219e-24       2.571687218733e-08       7.009136836525e+20       1.417361092952e+04       7.863196160910e-10       2.554829393424e+17       1.484759906319e-08       2.904722575359e+41       1.458549188470e+31       7.820307673568e+31       3.463692243488e-08       2.008077343027e+41       4.912799919314e+41       4.912799919314e+41       1.637599972795e+41      -2.547129087257e+49       2.394286728320e-05       4.517943556468e-01 
       1.801073300864e+13       2.330404843245e-24       2.573688107077e-08       6.997848260476e+20       1.417361092952e+04       7.869535861049e-10       2.552771222199e+17       1.485956993659e-08       2.895373699080e+41       1.455027004649e+31       7.801422769731e+31       3.463692243488e-08       2.001614327660e+41       4.896988027666e+41       4.896988027666e+41       1.632329342247e+41      -2.536885765324e+49       2.395158517650e-05       4.516299116257e-01 
       1.799622355743e+13       2.334164134789e-24       2.575870894361e-08       6.986577865261e+20       1.417361092952e+04       7.875880672569e-10       2.550714709038e+17       1.487155046151e-08       2.886054912244e+41       1.451513326388e+31       7.782583470185e+31       3.463692243488e-08       1.995172113568e+41       4.881227026736e+41       4.881227026736e+41       1.627075675271e+41      -2.526683637080e+49       2.396030306981e-05       4.514655872696e-01 
       1.798172579505e+13       2.337929490616e-24       2.577871782705e-08       6.975325621598e+20       1.417361092952e+04       7.882230599593e-10       2.548659852604e+17       1.488354064572e-08       2.876766118010e+41       1.448008133149e+31       7.763789664804e+31       3.463692243488e-08       1.988750633802e+41       4.865516752733e+41       4.865516752733e+41       1.621838917271e+41      -2.516522536865e+49       2.396902096312e-05       4.513013824480e-01 
       1.796723971207e+13       2.341700920506e-24       2.580054569989e-08       6.964091500253e+20       1.417361092952e+04       7.888585646244e-10       2.546606651563e+17       1.489554049701e-08       2.867507219845e+41       1.444511404440e+31       7.745041243725e+31       3.463692243488e-08       1.982349821626e+41       4.849857042390e+41       4.849857042390e+41       1.616619013824e+41      -2.506402299683e+49       2.397773885642e-05       4.511372970304e-01 
       1.795276529908e+13       2.345478434256e-24       2.582055458333e-08       6.952875472040e+20       1.417361092952e+04       7.894945816650e-10       2.544555104582e+17       1.490755002318e-08       2.858278121529e+41       1.441023119823e+31       7.726338097352e+31       3.463692243488e-08       1.975969610524e+41       4.834247732970e+41       4.834247732970e+41       1.611415910684e+41      -2.496322761202e+49       2.398645674973e-05       4.509733308866e-01 
       1.793830254668e+13       2.349262041865e-24       2.584056346677e-08       6.941677507818e+20       1.417361092952e+04       7.901311114941e-10       2.542505210327e+17       1.491956923204e-08       2.849078727151e+41       1.437543258904e+31       7.707680116352e+31       3.463692243488e-08       1.969609934189e+41       4.818688662255e+41       4.818688662255e+41       1.606229553780e+41      -2.486283757754e+49       2.399517464303e-05       4.508094838873e-01 
       1.792385144547e+13       2.353051753003e-24       2.586239133961e-08       6.930497578494e+20       1.417361092952e+04       7.907681545253e-10       2.540456967467e+17       1.493159813139e-08       2.839908941108e+41       1.434071801342e+31       7.689067191659e+31       3.463692243488e-08       1.963270726532e+41       4.803179668552e+41       4.803179668552e+41       1.601059889213e+41      -2.476285126324e+49       2.400389253634e-05       4.506457559021e-01 
       1.790941198608e+13       2.356847577514e-24       2.588240022305e-08       6.919335655023e+20       1.417361092952e+04       7.914057111723e-10       2.538410374673e+17       1.494363672903e-08       2.830768668105e+41       1.430608726845e+31       7.670499214468e+31       3.463692243488e-08       1.956951921672e+41       4.787720590687e+41       4.787720590687e+41       1.595906863259e+41      -2.466326704556e+49       2.401261042964e-05       4.504821468014e-01 
