# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04932e-05 to 1.02586 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.137023181949e-01       1.030819599084e+03 
       2.169290942546e-01       9.948345141550e+02 
       2.201558724036e-01       9.608386949490e+02 
       2.233826525507e-01       9.294121959548e+02 
       2.266094346099e-01       9.008329402560e+02 
       2.298362185000e-01       8.752406367537e+02 
       2.330630041446e-01       8.525879245971e+02 
       2.362897914712e-01       8.325955994288e+02 
       2.395165804114e-01       8.149199156026e+02 
       2.427433709005e-01       7.990571661462e+02 
       2.459701628770e-01       7.844121292423e+02 
       2.491969562828e-01       7.704191939133e+02 
       2.524237510628e-01       7.565796682959e+02 
       2.556505471646e-01       7.425201620940e+02 
       2.588773445385e-01       7.279479298706e+02 
       2.621041431371e-01       7.127445722472e+02 
       2.653309429156e-01       6.968388296418e+02 
       2.685577438312e-01       6.803686544270e+02 
       2.717845458431e-01       6.634970935991e+02 
       2.750113489125e-01       6.464147101213e+02 
       2.782381530023e-01       6.294772440368e+02 
       2.814649580774e-01       6.129171171332e+02 
       2.846917641040e-01       5.970136478440e+02 
       2.879185710500e-01       5.819859561609e+02 
       2.911453788845e-01       5.680137020032e+02 
       2.943721875783e-01       5.550766739560e+02 
       2.975989971032e-01       5.431680606734e+02 
       3.008258074324e-01       5.322395709845e+02 
       3.040526185400e-01       5.221295984113e+02 
       3.072794304015e-01       5.127030009795e+02 
       3.105062429932e-01       5.037885509063e+02 
       3.137330562925e-01       4.952136211359e+02 
       3.169598702777e-01       4.868227285067e+02 
       3.201866849279e-01       4.784941304620e+02 
       3.234135002230e-01       4.701158338427e+02 
       3.266403161440e-01       4.616092734111e+02 
       3.298671326724e-01       4.529551149120e+02 
       3.330939497903e-01       4.441780953956e+02 
       3.363207674808e-01       4.353229087316e+02 
       3.395475857275e-01       4.264964671423e+02 
       3.427744045145e-01       4.177462526472e+02 
       3.460012238268e-01       4.091600329048e+02 
       3.492280436496e-01       4.008290828529e+02 
       3.524548639688e-01       3.927782452445e+02 
       3.556816847710e-01       3.850874541029e+02 
       3.589085060430e-01       3.777679682124e+02 
       3.621353277723e-01       3.708429867133e+02 
       3.653621499465e-01       3.642884043144e+02 
       3.685889725541e-01       3.580788082566e+02 
       3.718157955836e-01       3.521558094928e+02 
       3.750426190242e-01       3.464830624151e+02 
       3.782694428652e-01       3.409799088619e+02 
       3.814962670965e-01       3.355923214923e+02 
       3.847230917082e-01       3.302923641977e+02 
       3.879499166908e-01       3.250453149266e+02 
       3.911767420350e-01       3.198301122744e+02 
       3.944035677320e-01       3.146437914147e+02 
       3.976303937730e-01       3.094700842991e+02 
       4.008572201499e-01       3.043200794239e+02 
       4.040840468545e-01       2.992006052454e+02 
       4.073108738789e-01       2.941486084527e+02 
       4.105377012157e-01       2.891723405524e+02 
       4.137645288575e-01       2.842976169741e+02 
