# Matter power spectrum P(k) at redshift z=0
# for k=1.04741e-05 to 1.19979 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.395710864453e-01       4.235773161066e+02 
       4.427978972241e-01       4.173851593238e+02 
       4.460247082457e-01       4.113464053777e+02 
       4.492515195049e-01       4.054403308810e+02 
       4.524783309966e-01       3.996361454490e+02 
       4.557051427159e-01       3.939124514002e+02 
       4.589319546578e-01       3.882411699220e+02 
       4.621587668178e-01       3.826472279808e+02 
       4.653855791913e-01       3.771160633498e+02 
       4.686123917739e-01       3.716524506757e+02 
       4.718392045612e-01       3.662612773899e+02 
       4.903398684775e-01       3.371142394875e+02 
       5.101808916604e-01       3.100354072464e+02 
       5.316159777690e-01       2.842849261465e+02 
       5.549850815215e-01       2.590304674157e+02 
       5.807573775917e-01       2.349037828917e+02 
       6.096037565882e-01       2.114853895064e+02 
       6.425258304123e-01       1.884887837695e+02 
       6.811003658375e-01       1.658287455624e+02 
       7.279774385130e-01       1.430940098401e+02 
       7.879795572789e-01       1.198939025764e+02 
       8.706883585124e-01       9.572497376951e+01 
       9.962023949991e-01       7.039651125893e+01 
       1.199790826854e+00       4.575530535082e+01 
